Width [m],Depth [m],Area [m2],Height [m],Orientation,WWR [%],SHD,Cooling[kWh],Heating[kWh],Lighting[kWh],EUI [kwh/m2],EffDepth[m],DA [%],UDI [%],CDA [%],SDA [Area%],img,threeD,Rating
4.5,10,45,3,270,0.4,0,1807.10452,4381.451273,976.481354,159.2230477,4.25,31.111111,43.333333,43.333333,41.11,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_270.0_RMDEPTH_10.0_RMH_3.0_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_270.0_RMDEPTH_10.0_RMH_3.0.json,0
4.5,10,45,3.6,270,0.4,0,1926.974325,4776.972418,797.258013,166.693439,4.25,35,43.888889,48.333333,45,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_270.0_RMDEPTH_10.0_RMH_3.6_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_270.0_RMDEPTH_10.0_RMH_3.6.json,0
4.5,10,45,4.2,270,0.4,0,2062.064852,5182.027602,673.895108,175.9552792,4.75,38.333333,46.111111,50.555556,48.89,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_270.0_RMDEPTH_10.0_RMH_4.2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_270.0_RMDEPTH_10.0_RMH_4.2.json,0
4.5,10,45,3,315,0.4,0,1865.443658,4186.402421,798.259644,152.2245716,4.75,35,38.333333,48.888889,48.89,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_315.0_RMDEPTH_10.0_RMH_3.0_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_315.0_RMDEPTH_10.0_RMH_3.0.json,0
4.5,10,45,3.6,315,0.4,0,2015.246221,4520.767016,658.44339,159.8768139,5.25,38.333333,38.888889,50.555556,52.22,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_315.0_RMDEPTH_10.0_RMH_3.6_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_315.0_RMDEPTH_10.0_RMH_3.6.json,0
4.5,10,45,4.2,315,0.4,0,2181.150756,4791.706179,638.468117,169.1405567,5.25,40.555556,42.777778,55,55.56,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_315.0_RMDEPTH_10.0_RMH_4.2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_315.0_RMDEPTH_10.0_RMH_4.2.json,0
4.5,10,45,3,45,0.4,0,1785.0415,4161.353533,592.432813,145.3072855,4.75,35,37.777778,48.333333,48.33,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_45.0_RMDEPTH_10.0_RMH_3.0_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_45.0_RMDEPTH_10.0_RMH_3.0.json,0
4.5,10,45,3.6,45,0.4,0,1969.739098,4465.294646,475.415757,153.5655445,5.25,40,38.333333,52.777778,51.67,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_45.0_RMDEPTH_10.0_RMH_3.6_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_45.0_RMDEPTH_10.0_RMH_3.6.json,0
4.5,10,45,4.2,45,0.4,0,2096.003234,4772.866069,366.636037,160.7890076,5.25,42.222222,40.555556,55.555556,54.44,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_45.0_RMDEPTH_10.0_RMH_4.2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_45.0_RMDEPTH_10.0_RMH_4.2.json,0
4.5,10,45,3,90,0.4,0,1792.34298,4361.452891,770.057753,153.8634139,3.75,31.666667,39.444444,44.444444,40.56,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_90.0_RMDEPTH_10.0_RMH_3.0_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_90.0_RMDEPTH_10.0_RMH_3.0.json,0
4.5,10,45,3.6,90,0.4,0,1855.072586,4745.051515,592.464828,159.8353095,4.25,35,40.555556,48.333333,44.44,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_90.0_RMDEPTH_10.0_RMH_3.6_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_90.0_RMDEPTH_10.0_RMH_3.6.json,0
4.5,10,45,4.2,90,0.4,0,2031.594016,5101.081038,495.236552,169.5091468,4.75,38.888889,43.333333,50,49.44,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_90.0_RMDEPTH_10.0_RMH_4.2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_90.0_RMDEPTH_10.0_RMH_4.2.json,0
4.5,10,45,3,0,0.6,0,2027.0576,3908.108942,436.328407,141.5887766,6.25,50,69.444444,65,63.33,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_0.0_RMDEPTH_10.0_RMH_3.0_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_0.0_RMDEPTH_10.0_RMH_3.0.json,0
4.5,10,45,3.6,0,0.6,0,2190.290569,4155.771311,292.665211,147.5272687,6.75,55,66.666667,71.666667,69.44,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_0.0_RMDEPTH_10.0_RMH_3.6_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_0.0_RMDEPTH_10.0_RMH_3.6.json,0
4.5,10,45,4.2,0,0.6,0,2411.642817,4445.150647,178.056474,156.3299986,7.75,60.555556,63.888889,82.777778,78.33,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_0.0_RMDEPTH_10.0_RMH_4.2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_0.0_RMDEPTH_10.0_RMH_4.2.json,0
4.5,10,45,3,135,0.6,0,1779.597239,4840.35657,585.149218,160.1134006,4.75,38.888889,52.222222,50.555556,48.89,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_135.0_RMDEPTH_10.0_RMH_3.0_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_135.0_RMDEPTH_10.0_RMH_3.0.json,0
4.5,10,45,3.6,135,0.6,0,1949.662223,5295.916117,473.657464,171.5385734,5.25,43.888889,61.111111,55,53.89,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_135.0_RMDEPTH_10.0_RMH_3.6_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_135.0_RMDEPTH_10.0_RMH_3.6.json,0
4.5,10,45,4.2,135,0.6,0,2321.335097,5359.543048,1187.63094,197.0779797,5.75,43.888889,77.777778,58.333333,54.44,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_135.0_RMDEPTH_10.0_RMH_4.2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_135.0_RMDEPTH_10.0_RMH_4.2.json,0
4.5,10,45,3,180,0.6,0,1628.31897,4913.193993,720.068949,161.3684869,4.75,35.555556,55.555556,50,46.67,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_180.0_RMDEPTH_10.0_RMH_3.0_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_180.0_RMDEPTH_10.0_RMH_3.0.json,0
4.5,10,45,3.6,180,0.6,0,1687.101502,5402.35034,553.164315,169.8359146,4.75,40.555556,58.333333,55,50,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_180.0_RMDEPTH_10.0_RMH_3.6_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_180.0_RMDEPTH_10.0_RMH_3.6.json,0
4.5,10,45,4.2,180,0.6,0,1806.427572,5897.322383,401.5888,180.118639,5.75,45,79.444444,60.555556,56.11,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_180.0_RMDEPTH_10.0_RMH_4.2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_180.0_RMDEPTH_10.0_RMH_4.2.json,0
4.5,10,45,3,225,0.6,0,1825.829888,4821.386766,765.89107,164.7357272,4.75,38.888889,52.777778,50,47.22,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_225.0_RMDEPTH_10.0_RMH_3.0_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_225.0_RMDEPTH_10.0_RMH_3.0.json,0
4.5,10,45,3.6,225,0.6,0,1928.087626,5354.047112,522.458084,173.435396,5.25,42.222222,62.222222,55,50.56,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_225.0_RMDEPTH_10.0_RMH_3.6_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_225.0_RMDEPTH_10.0_RMH_3.6.json,0
4.5,10,45,4.2,225,0.6,0,2077.153473,5807.519849,406.922256,184.2576795,5.75,45,78.333333,62.777778,57.78,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_225.0_RMDEPTH_10.0_RMH_4.2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_225.0_RMDEPTH_10.0_RMH_4.2.json,0
4.5,10,45,3,270,0.6,0,2029.602196,4582.07542,548.662019,159.1186586,5.25,40.555556,48.888889,55,51.11,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_270.0_RMDEPTH_10.0_RMH_3.0_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.6_ROOMOR_270.0_RMDEPTH_10.0_RMH_3.0.json,0
